2025-03-08T13:00:00.054 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:14.064 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:14.064 +0530 [V]  - Music active, INFO
2025-03-08T13:00:15.064 +0530 [V]  - Music active, INFO
2025-03-08T13:00:15.063 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:16.065 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:16.065 +0530 [V]  - Music active, INFO
2025-03-08T13:00:17.066 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:17.067 +0530 [V]  - Music active, INFO
2025-03-08T13:00:18.066 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:18.067 +0530 [V]  - Music active, INFO
2025-03-08T13:00:19.065 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:19.066 +0530 [V]  - Music active, INFO
2025-03-08T13:00:20.066 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:20.068 +0530 [V]  - Music active, INFO
2025-03-08T13:00:21.067 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:21.068 +0530 [V]  - Music active, INFO
2025-03-08T13:00:22.066 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:22.067 +0530 [V]  - Music active, INFO
2025-03-08T13:00:23.066 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:23.067 +0530 [V]  - Music active, INFO
2025-03-08T13:00:24.067 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:24.068 +0530 [V]  - Music active, INFO
2025-03-08T13:00:25.067 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:25.068 +0530 [V]  - Music active, INFO
2025-03-08T13:00:26.068 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:26.069 +0530 [V]  - Music active, INFO
2025-03-08T13:00:27.070 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:27.070 +0530 [V]  - Music active, INFO
2025-03-08T13:00:28.070 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:28.071 +0530 [V]  - Music active, INFO
2025-03-08T13:00:29.072 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:29.073 +0530 [V]  - Music active, INFO
2025-03-08T13:00:30.071 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:30.073 +0530 [V]  - Music active, INFO
2025-03-08T13:00:31.071 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:31.072 +0530 [V]  - Music active, INFO
2025-03-08T13:00:32.072 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:32.073 +0530 [V]  - Music active, INFO
2025-03-08T13:00:33.074 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:33.075 +0530 [V]  - Music active, INFO
2025-03-08T13:00:34.074 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:34.075 +0530 [V]  - Music active, INFO
2025-03-08T13:00:35.074 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:35.075 +0530 [V]  - Music active, INFO
2025-03-08T13:00:36.075 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:36.076 +0530 [V]  - Music active, INFO
2025-03-08T13:00:37.077 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:37.077 +0530 [V]  - Music active, INFO
2025-03-08T13:00:38.076 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:38.077 +0530 [V]  - Music active, INFO
2025-03-08T13:00:39.077 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:39.078 +0530 [V]  - Music active, INFO
2025-03-08T13:00:40.078 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:40.080 +0530 [V]  - Music active, INFO
2025-03-08T13:00:41.078 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:41.078 +0530 [V]  - Music active, INFO
2025-03-08T13:00:42.082 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:42.083 +0530 [V]  - Music active, INFO
2025-03-08T13:00:43.082 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:43.083 +0530 [V]  - Music active, INFO
2025-03-08T13:00:44.082 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:44.083 +0530 [V]  - Music active, INFO
2025-03-08T13:00:45.082 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:45.083 +0530 [V]  - Music active, INFO
2025-03-08T13:00:46.084 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:46.085 +0530 [V]  - Music active, INFO
2025-03-08T13:00:47.083 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:47.084 +0530 [V]  - Music active, INFO
2025-03-08T13:00:48.083 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:48.084 +0530 [V]  - Music active, INFO
2025-03-08T13:00:49.083 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:49.084 +0530 [V]  - Music active, INFO
2025-03-08T13:00:50.086 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:50.086 +0530 [V]  - Music active, INFO
2025-03-08T13:00:51.086 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:51.088 +0530 [V]  - Music active, INFO
2025-03-08T13:00:52.086 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:52.087 +0530 [V]  - Music active, INFO
2025-03-08T13:00:53.084 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:53.086 +0530 [V]  - Music active, INFO
2025-03-08T13:00:54.089 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:54.089 +0530 [V]  - Music active, INFO
2025-03-08T13:00:55.088 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:55.090 +0530 [V]  - Music active, INFO
2025-03-08T13:00:56.087 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:56.087 +0530 [V]  - Music active, INFO
2025-03-08T13:00:57.088 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:57.088 +0530 [V]  - Music active, INFO
2025-03-08T13:00:58.089 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:58.089 +0530 [V]  - Music active, INFO
2025-03-08T13:00:59.088 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:59.088 +0530 [V]  - Music active, INFO
2025-03-08T13:01:00.092 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:00.092 +0530 [V]  - Music active, INFO
2025-03-08T13:01:01.091 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:01.092 +0530 [V]  - Music active, INFO
2025-03-08T13:01:02.092 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:02.092 +0530 [V]  - Music active, INFO
2025-03-08T13:01:03.093 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:03.094 +0530 [V]  - Music active, INFO
2025-03-08T13:01:04.093 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:04.093 +0530 [V]  - Music active, INFO
2025-03-08T13:01:05.093 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:05.094 +0530 [V]  - Music active, INFO
2025-03-08T13:01:06.094 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:06.095 +0530 [V]  - Music active, INFO
2025-03-08T13:01:07.093 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:07.094 +0530 [V]  - Music active, INFO
2025-03-08T13:01:08.094 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:08.095 +0530 [V]  - Music active, INFO
2025-03-08T13:01:09.094 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:09.095 +0530 [V]  - Music active, INFO
2025-03-08T13:01:10.096 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:10.097 +0530 [V]  - Music active, INFO
2025-03-08T13:01:11.098 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:11.099 +0530 [V]  - Music active, INFO
2025-03-08T13:01:12.099 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:12.099 +0530 [V]  - Music active, INFO
2025-03-08T13:01:13.096 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:13.096 +0530 [V]  - Music active, INFO
2025-03-08T13:01:14.096 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:14.097 +0530 [V]  - Music active, INFO
2025-03-08T13:01:15.097 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:15.098 +0530 [V]  - Music active, INFO
2025-03-08T13:01:16.096 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:16.097 +0530 [V]  - Music active, INFO
2025-03-08T13:01:17.098 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:17.099 +0530 [V]  - Music active, INFO
2025-03-08T13:01:18.099 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:18.100 +0530 [V]  - Music active, INFO
2025-03-08T13:01:19.104 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:19.104 +0530 [V]  - Music active, INFO
2025-03-08T13:01:20.100 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:20.100 +0530 [V]  - Music active, INFO
2025-03-08T13:01:21.103 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:21.104 +0530 [V]  - Music active, INFO
2025-03-08T13:01:22.104 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:22.104 +0530 [V]  - Music active, INFO
2025-03-08T13:01:23.107 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:23.108 +0530 [V]  - Music active, INFO
2025-03-08T13:01:24.105 +0530 [V]  - Music active, INFO
2025-03-08T13:01:24.105 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:25.107 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:25.108 +0530 [V]  - Music active, INFO
2025-03-08T13:01:26.106 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:26.107 +0530 [V]  - Music active, INFO
2025-03-08T13:01:27.106 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:27.107 +0530 [V]  - Music active, INFO
2025-03-08T13:01:28.108 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:28.109 +0530 [V]  - Music active, INFO
2025-03-08T13:01:29.106 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:29.107 +0530 [V]  - Music active, INFO
2025-03-08T13:01:30.108 +0530 [V]  - Music active, INFO
2025-03-08T13:01:30.108 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:31.109 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:31.110 +0530 [V]  - Music active, INFO
2025-03-08T13:01:32.109 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:32.110 +0530 [V]  - Music active, INFO
2025-03-08T13:01:33.109 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:33.110 +0530 [V]  - Music active, INFO
2025-03-08T13:01:34.111 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:34.112 +0530 [V]  - Music active, INFO
2025-03-08T13:01:35.111 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:35.112 +0530 [V]  - Music active, INFO
2025-03-08T13:01:36.119 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:36.123 +0530 [V]  - Music active, INFO
2025-03-08T13:01:37.121 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:37.122 +0530 [V]  - Music active, INFO
2025-03-08T13:01:38.134 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:38.134 +0530 [V]  - Music active, INFO
2025-03-08T13:01:39.117 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:39.118 +0530 [V]  - Music active, INFO
2025-03-08T13:01:40.114 +0530 [V]  - Music active, INFO
2025-03-08T13:01:40.114 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:41.122 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:41.123 +0530 [V]  - Music active, INFO
2025-03-08T13:01:41.459 +0530 [V]  - lastNotificationReceivedTime = 1741419101458, INFO
2025-03-08T13:01:41.462 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T13:01:41.465 +0530 [V]  - Music filters passed, INFO
2025-03-08T13:01:41.473 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T13:01:41.474 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T13:01:41.479 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T13:01:41.481 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T13:01:41.544 +0530 [V]  - Notification: id-3001 sent to linwear, INFO
2025-03-08T13:01:42.125 +0530 [V]  - Music active, INFO
2025-03-08T13:01:42.125 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:42.299 +0530 [V]  - lastNotificationReceivedTime = 1741419102297, INFO
2025-03-08T13:01:42.310 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T13:01:42.313 +0530 [V]  - Music filters passed, INFO
2025-03-08T13:01:42.317 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T13:01:42.320 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T13:01:42.343 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T13:01:42.340 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T13:01:42.359 +0530 [V]  - lastNotificationReceivedTime = 1741419102358, INFO
2025-03-08T13:01:42.362 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T13:01:42.369 +0530 [V]  - Music filters passed, INFO
2025-03-08T13:01:42.382 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T13:01:42.382 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T13:01:42.386 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T13:01:42.388 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T13:01:42.420 +0530 [V]  - Notification: id--1445021803 sent to linwear, INFO
2025-03-08T13:01:42.434 +0530 [V]  - Notification: id--1445021803, Duplicate Notification, package-org.telegram.messenger, title-Offers Point, text-  :       :1. Daikin 1 Ton 3 Star Inverter Split AC: https://amzn.to/4kyBiEn2. Panasonic 1 Ton 3 Star Inverter Split AC : https://amzn.to/3Xy0h0G3. Bluestar 1 Ton 3 Star Inverter Split AC : https://amzn.to/4ezmce34. LG 1.0 Ton 3 Star Inverter Split AC : https://amzn.to/4kwZ4k8 .     :1. Daikin 1.5 Ton 3 Star Split AC : https://…, flags-16, INFO
2025-03-08T13:01:43.126 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:43.129 +0530 [V]  - Music active, INFO
2025-03-08T13:01:44.122 +0530 [V]  - Music active, INFO
2025-03-08T13:01:44.121 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:45.117 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:45.118 +0530 [V]  - Music active, INFO
2025-03-08T13:01:46.126 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:46.130 +0530 [V]  - Music active, INFO
2025-03-08T13:01:47.120 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:47.120 +0530 [V]  - Music active, INFO
2025-03-08T13:01:48.122 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:48.123 +0530 [V]  - Music active, INFO
2025-03-08T13:01:49.129 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:49.129 +0530 [V]  - Music active, INFO
2025-03-08T13:01:50.125 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:50.126 +0530 [V]  - Music active, INFO
2025-03-08T13:01:51.125 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:51.126 +0530 [V]  - Music active, INFO
2025-03-08T13:01:52.127 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:52.128 +0530 [V]  - Music active, INFO
2025-03-08T13:01:53.126 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:53.127 +0530 [V]  - Music active, INFO
2025-03-08T13:01:54.128 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:54.129 +0530 [V]  - Music active, INFO
2025-03-08T13:01:55.127 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:55.129 +0530 [V]  - Music active, INFO
2025-03-08T13:01:56.127 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:56.128 +0530 [V]  - Music active, INFO
2025-03-08T13:01:57.129 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:57.130 +0530 [V]  - Music active, INFO
2025-03-08T13:01:58.129 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:58.130 +0530 [V]  - Music active, INFO
2025-03-08T13:01:59.129 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:01:59.129 +0530 [V]  - Music active, INFO
2025-03-08T13:02:00.131 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:00.133 +0530 [V]  - Music active, INFO
2025-03-08T13:02:01.132 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:01.133 +0530 [V]  - Music active, INFO
2025-03-08T13:02:02.132 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:02.133 +0530 [V]  - Music active, INFO
2025-03-08T13:02:03.132 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:03.132 +0530 [V]  - Music active, INFO
2025-03-08T13:02:04.133 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:04.133 +0530 [V]  - Music active, INFO
2025-03-08T13:02:05.136 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:05.137 +0530 [V]  - Music active, INFO
2025-03-08T13:02:06.136 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:06.137 +0530 [V]  - Music active, INFO
2025-03-08T13:02:07.137 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:07.138 +0530 [V]  - Music active, INFO
2025-03-08T13:02:08.136 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:08.137 +0530 [V]  - Music active, INFO
2025-03-08T13:02:09.138 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:09.139 +0530 [V]  - Music active, INFO
2025-03-08T13:02:10.139 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:10.139 +0530 [V]  - Music active, INFO
2025-03-08T13:02:11.138 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:11.140 +0530 [V]  - Music active, INFO
2025-03-08T13:02:12.139 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:12.139 +0530 [V]  - Music active, INFO
2025-03-08T13:02:13.140 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:13.144 +0530 [V]  - Music active, INFO
2025-03-08T13:02:14.141 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:14.142 +0530 [V]  - Music active, INFO
2025-03-08T13:02:15.140 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:15.141 +0530 [V]  - Music active, INFO
2025-03-08T13:02:16.143 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:16.143 +0530 [V]  - Music active, INFO
2025-03-08T13:02:17.144 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:17.145 +0530 [V]  - Music active, INFO
2025-03-08T13:02:18.144 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:18.145 +0530 [V]  - Music active, INFO
2025-03-08T13:02:19.145 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:19.146 +0530 [V]  - Music active, INFO
2025-03-08T13:02:20.145 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:20.146 +0530 [V]  - Music active, INFO
2025-03-08T13:02:21.145 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:21.147 +0530 [V]  - Music active, INFO
2025-03-08T13:02:22.147 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:22.147 +0530 [V]  - Music active, INFO
2025-03-08T13:02:23.149 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:23.150 +0530 [V]  - Music active, INFO
2025-03-08T13:02:24.149 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:24.150 +0530 [V]  - Music active, INFO
2025-03-08T13:02:25.149 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:25.151 +0530 [V]  - Music active, INFO
2025-03-08T13:02:26.152 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:26.153 +0530 [V]  - Music active, INFO
2025-03-08T13:02:27.152 +0530 [V]  - Music active, INFO
2025-03-08T13:02:27.151 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:28.152 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:28.153 +0530 [V]  - Music active, INFO
2025-03-08T13:02:29.154 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:29.154 +0530 [V]  - Music active, INFO
2025-03-08T13:02:30.151 +0530 [V]  - Music active, INFO
2025-03-08T13:02:30.150 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:31.152 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:31.153 +0530 [V]  - Music active, INFO
2025-03-08T13:02:32.155 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:32.156 +0530 [V]  - Music active, INFO
2025-03-08T13:02:33.156 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:33.157 +0530 [V]  - Music active, INFO
2025-03-08T13:02:34.156 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:02:34.157 +0530 [V]  - Music active, INFO
